bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2038-2044,2044-2050,2050-2056,2056-2062,2062-2070,2070-2076,2076-2082,2082-2088,2088-2094,2094-2101
DK,offwind,295.16630546332107,297.5783354165221,296.40048513740595,304.01421194845824,292.1542146586608,292.6364412359013,285.57282220395615,288.90030929159354,279.53689202148223,305.29024870320774,307.48842446432957,309.304534180851,297.57604517063646,289.33425482979385,315.0680264464293,300.7146589929719,290.7573663593112,288.2945098663399,295.059666115884,293.9335630717931
DK,onwind,167.005494361157,154.27733189397932,158.39581732880382,153.85133360619545,146.78111563996003,154.70676022472554,160.6324695118203,149.131234608686,146.48149683962575,175.19942882318878,168.26366362320388,162.24921752889608,151.39765841959525,161.37079916728777,154.41511929315735,156.21156147585282,151.05483425775734,146.63938272947541,152.57077015500306,147.57831577691715
DK,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,solar,357.9099257513529,369.6929323210669,359.87742434105127,365.3172808369014,371.01890500059704,360.2457977170108,380.9270610782056,388.26966464511946,371.59090100981757,375.11618277843314,390.7960057042295,390.10993972773935,398.11118592112354,373.17837637843803,400.1150324809736,396.67235658860506,404.5583903920471,408.1485656587855,401.5478018794069,420.3109638010948
EE,OCGT,153.91001615003952,166.3925293274247,129.56528894812635,165.51092427520356,109.83161920461609,170.2579861971849,118.89711501862554,111.21199431268516,118.28173639830385,168.0591475261095,104.2460641396475,182.50021031456126,152.1844114811014,140.97941717047897,125.47068295351335,137.18854418717038,125.54997709345972,162.33873781923367,141.0599367705882,169.40266558103656
EE,offwind,351.0461395804314,341.42641503379457,341.37330890073486,343.6302261748866,381.1239419772283,333.0521250712366,333.5102760931396,341.6085284882349,331.0658760561618,348.7756309273029,347.14825152653816,334.62492004388554,342.12871808577063,338.11903947032187,340.66928428607616,317.8403820877239,330.4773852861801,332.1714354863122,339.50676970377356,325.9241216379177
EE,onwind,187.28275652582911,185.66006525362602,188.84297039457007,188.93126761220947,197.1903547934499,185.0061539161236,185.73005537718444,191.1921598341885,188.2207882431583,189.90361518585723,185.8766010812076,182.34146452263,180.86280777284668,186.7231501901949,187.86216713297856,185.30720517918593,186.55750719778428,178.5271685557742,189.61688328900473,184.49656266476606
EE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,solar,373.28714857885,365.1276872953247,386.97051329286904,365.2494983992731,371.57891866993316,375.2124387272213,402.30325582857193,402.07637793602385,392.39216690692075,387.05400696645177,434.17883097916024,412.47098510197856,435.13632778427825,405.8859797488338,418.58214109491246,413.7340598711287,438.9961606816488,459.4672689094421,445.15033053956455,449.8548231081722
ES,OCGT,326.31637469645005,261.70401888126145,278.7059446160774,350.7192130181853,167.7853363532765,252.73130183801115,199.79087495576547,145.10742143708683,213.30923914322022,248.26292201832493,286.6452560838377,288.1019113488687,162.29527298886543,291.1474155370719,127.04729822177319,168.0489151309043,161.03642462885176,267.0956245279266,189.65590217618453,149.30718893698642
