bus,carrier,1970-1976,1976-1982,1982-1988,1988-1994,1994-2000,2000-2006,2006-2012,2012-2018,2018-2024,2024-2030,2030-2038,2038-2044,2050-2056,2056-2062,2062-2070,2076-2082
GB,offwind,247.98879348254033,276.18492697542655,247.68366706766142,245.90141238951585,262.4662748985089,259.4469966918405,249.80411263785817,240.8439184677,249.613267609029,256.8224478686222,242.3611062719433,247.81433806801047,249.70303188446735,246.07244497652343,255.32181972313234,245.3478783408435
GB,onwind,125.8266019996094,126.9416358765213,129.53933996867883,132.3850396560185,130.62621334033875,132.0696252872869,126.01005574112965,136.75707111483413,129.7077464996797,134.72972434269437,132.80422956221216,127.95196092805874,134.54199347551668,134.90728506299138,147.79526127037326,140.99827451518172
GB,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,solar,362.5979218456721,376.1872006543575,341.08435973926976,343.7133307085054,358.0740765722172,358.5960608918638,369.42049337732567,336.7598260526516,363.8701882587878,361.01390958718747,356.3006139339798,368.09342711327054,347.6326136837564,347.87474526795654,342.21824880473446,336.20394253281626
GR,OCGT,106.88250197256869,108.1899861084405,233.35438468640882,164.70640297824508,110.82446035685601,110.24113713565359,183.55182492621668,214.36905014812632,110.5223318692943,105.694961230212,112.62112054272514,158.8875672711159,118.24858727363387,232.96300968896276,170.08236109893522,106.39833244586004
GR,offwind,416.97978308673504,433.1792785321664,411.6207907960301,405.9828772104664,437.24566996679465,437.7145283466701,430.48022899755443,379.280130366882,412.401170744223,420.33086591388474,413.4860859078899,431.67435895630217,419.04040166884886,395.4797109989397,406.1367944040855,398.90174132587754
GR,onwind,185.42348360151075,191.28365342151002,187.34270364075167,190.83419489756747,192.56237995877814,195.05154140397536,191.60341203425847,189.91094512813316,194.00244198459342,194.28772980758745,197.3134809430455,195.26696895220155,195.1848704785494,196.38492280053075,191.70198521558183,192.48399374658928
GR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,solar,216.6783682680875,173.0845445401664,218.38465224115956,222.82927859754693,171.85479918886054,222.48777932455124,180.3783983479378,173.7238507341317,224.18575757015074,177.92342075920226,221.53783702665078,173.32868787273682,171.61133055182393,173.14194345459228,173.6339625531632,227.53446908475703
HR,OCGT,121.16518613887165,123.66459268684436,184.61325150608,158.34302723540767,159.7052927123995,199.33430118541912,121.98539140160192,168.93416776767927,129.9785188509767,133.94921510313023,158.0997964984086,135.9351672356508,143.86452774261943,172.51014325572837,147.11733263693895,117.41176978890938
HR,offwind,530.2287312785868,536.8764844999417,545.8850182062854,506.9958856488491,571.3227039871912,542.8298210202059,573.487931556502,555.2721807613458,556.5166720964486,563.5000775474059,555.5561860246102,558.2696133461972,583.3738889902671,577.5491576529556,547.5366133333908,514.6376991719198
HR,onwind,261.654857834653,275.57096438224244,269.6301065129725,258.5706145046272,275.1135086296575,279.8461851925349,294.44264500314864,282.7990917969893,289.54321429110865,286.3380377876351,276.4748028218948,275.5309843253926,287.85102872234614,292.86197936502833,279.0963036458153,279.65454920144975
HR,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,solar,234.62840466520242,250.29321092357625,238.68566768264034,247.1164103896182,246.11597379796538,248.45725174738988,249.263764298384,245.75815431080292,248.11343155960495,246.71100399355555,246.46885609769672,242.09866503350463,252.93175158724497,248.91418097582414,228.09833170790404,251.62979938975295
HU,OCGT,116.98807625305108,152.1507324141725,232.19189542612767,246.1213339723089,184.60484605757415,224.74489941036916,142.73613877090173,192.97942469757234,176.79591454297642,150.62933075867238,200.9513812117816,198.67275690081934,148.83270312361878,223.77742892084504,157.36316588379947,199.6728139451217
HU,onwind,339.14969508657487,348.31963802816813,349.88366326959965,330.13260426121656,343.9888782842789,390.29236994844166,361.8616124648304,365.88322723162,359.19685161380914,362.82719126360627,360.52968747896006,338.449358333246,357.1589709622274,355.69770169601446,354.87898536779716,330.9454999161461
HU,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,solar,242.6438240419999,272.86463620511813,244.25549087947707,261.24498079542155,257.97916790657615,255.58827995418434,258.3520267462528,259.4856203383311,257.89365250558086,261.8519881438626,250.939077420361,254.04820140393522,261.53368450906316,264.13618211799314,258.55467970012995,254.04893681283062
IE,OCGT,128.95714089732874,127.89593110997214,202.15907299280872,157.189991906261,144.93740325104497,197.1862701027197,109.97095748159961,190.7570218102831,115.39575311112306,128.61462914998108,134.42572961742593,141.02305301895433,125.99653769243986,206.58542570851367,126.5708201428068,151.72234208665012
IE,offwind,227.39916546820885,253.44558820101219,225.63496460122744,228.86090032695128,245.86210993062514,236.91834675666507,237.23571049282012,226.4327345596513,229.01449583365888,235.99028110378524,234.28665698223,234.83328478486047,234.80511203093323,242.84806652800683,243.6883675300449,239.72388135654052
IE,onwind,137.03062422715976,141.68278955569644,143.90272048528402,141.66208476628347,140.88428014774217,146.1835271831636,146.8361698010149,145.01024138657326,137.76579310692557,146.06991833793927,145.89395329165072,142.46502476470616,150.44210167363295,146.70915884127797,155.26287903023473,149.72661787910124
IE,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,solar,405.7658500014653,399.6357688191801,391.06183118461695,387.3696981462859,390.2207469647155,394.32978133296393,416.7674895814968,389.1220642741347,412.3999864140561,411.7382122621122,402.8756941119681,412.51190575910096,394.0993658718636,389.55180081599025,404.68417777142207,374.9607695101594
IT,OCGT,198.35979883587507,250.08844649233146,255.32049220781118,245.76873448282169,188.5426993399239,205.8128686695949,182.05651145198266,190.10402999253475,206.8048079534945,193.53138466993056,189.6111371632605,203.01321868276278,207.78218838021735,205.04996513776464,194.9897674839771,267.04673268682
